Бренд,продукция,категория,префикс,номер,суффикс,Аналог,d_mm,D_mm,B_mm,T_mm,C_mm,W_mm,r1r2_min_mm,r3r4_min_mm,a_mm,d_inch,D_inch,B_inch,T_inch,C_inch,spindle_A_mm,spindle_B_mm,spindle_B1_mm,axb,interface,spindle_head,C,D_x_L,G,F,keyway,shaft_d_mm,thread_e,rpm,max_speed_rpm,mass_kg,static_400C_kN,static_20C_kN,screw_class,note_raw,raw,source_site,source_url,source_brand,source_page,scraped_at_utc,номер_исходный,parse_strategy,parse_conflict,stage2_enriched,обозначение_полное,quality
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30216,F,7216,80.0,140.0,26.0,28.25,22.0,,2.5,2.0,28.0,3.15,5.512,1.024,1.112,0.866,,,,,,,,,,,,,,,,,,,,,,,,,,,30216,unchanged,,,30216 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32216,F,7516,80.0,140.0,33.0,35.25,28.0,,2.5,2.0,30.6,3.15,5.512,1.299,1.388,1.102,,,,,,,,,,,,,,,,,,,,,,,,,,,32216,unchanged,,,32216 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,31318,F,1027318,90.0,190.0,43.0,46.5,30.0,,4.0,3.0,56.0,3.543,7.48,1.693,1.831,1.181,,,,,,,,,,,,,,,,,,,,,,,,,,,31318,unchanged,,,31318 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32019,XF,2007119,95.0,145.0,32.0,32.0,24.0,,2.0,1.5,31.1,3.74,5.709,1.26,1.26,0.945,,,,,,,,,,,,,,,,,,,,,,,,,,,32019,unchanged,,,32019 XF (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33019,F,3007119,95.0,145.0,39.0,39.0,32.5,,2.0,1.5,28.3,3.74,5.709,1.535,1.535,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,33019,unchanged,,,33019 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33119,F,3007719,95.0,160.0,49.0,49.0,38.0,,2.5,2.0,37.0,3.74,6.299,1.929,1.929,1.496,,,,,,,,,,,,,,,,,,,,,,,,,,,33119,unchanged,,,33119 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30219,F,7219,95.0,170.0,32.0,34.5,27.0,,3.0,2.5,33.0,3.74,6.693,1.26,1.358,1.063,,,,,,,,,,,,,,,,,,,,,,,,,,,30219,unchanged,,,30219 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32219,F,7519,95.0,170.0,43.0,45.5,37.0,,3.0,2.5,38.6,3.74,6.693,1.693,1.791,1.457,,,,,,,,,,,,,,,,,,,,,,,,,,,32219,unchanged,,,32219 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30217,F,7217,85.0,150.0,28.0,30.5,24.0,,2.5,2.0,29.9,3.346,5.906,1.102,1.201,0.945,,,,,,,,,,,,,,,,,,,,,,,,,,,30217,unchanged,,,30217 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32217,F,7517,85.0,150.0,36.0,38.5,30.0,,2.5,2.0,33.2,3.346,5.906,1.417,1.516,1.181,,,,,,,,,,,,,,,,,,,,,,,,,,,32217,unchanged,,,32217 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33115,F,3007715,75.0,125.0,37.0,37.0,29.0,,2.0,1.5,28.9,2.953,4.921,1.457,1.457,1.142,,,,,,,,,,,,,,,,,,,,,,,,,,,33115,unchanged,,,33115 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,30220,F,7220,100.0,180.0,34.0,37.0,29.0,,3.0,2.5,35.9,3.937,7.087,1.339,1.457,1.142,,,,,,,,,,,,,,,,,,,,,,,,,,,30220,unchanged,,,30220 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32220,F,7520,100.0,180.0,46.0,49.0,39.0,,3.0,2.5,41.0,3.937,7.087,1.811,1.929,1.535,,,,,,,,,,,,,,,,,,,,,,,,,,,32220,unchanged,,,32220 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32220,FR,7520,100.0,180.0,46.0,49.0,39.0,,8.0,2.5,41.0,3.937,7.087,1.811,1.929,1.535,,,,,,,,,,,,,,,,,,,,,,,,,,,32220,unchanged,,,32220 FR (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,33220,F,3007220,100.0,180.0,63.0,63.0,48.0,,3.0,2.5,45.5,3.937,7.087,2.48,2.48,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,33220,unchanged,,,33220 F (FERSA),OK
FERSA,Подшипник,РОЛИКОВЫЙ КОНИЧЕСКИЙ,,32021,XF,2007121,105.0,160.0,35.0,35.0,26.0,,2.5,1.0,34.0,4.134,6.299,1.378,1.378,1.024,,,,,,,,,,,,,,,,,,,,,,,,,,,32021,unchanged,,,32021 XF (FERSA),OK
